lookback_years,num_funds,CAGR (%),total_return (%)
1,1,23.29435737596284,333.1141868964178
1,2,21.65226289613862,294.3132244306971
1,3,19.91643730285224,256.57510643447165
1,4,19.331009803146348,244.56662583650055
1,5,19.884094625053873,255.90244747284515
2,1,20.254292021588682,263.6671731671956
2,2,20.99634755156319,279.66960021446204
2,3,19.177949740450728,241.4847933106817
2,4,19.47244679050444,247.43559233873654
2,5,18.98237990778533,237.58143938906397
3,1,17.323517035410863,205.98174296898986
3,2,17.12368730991354,202.35221551598704
3,3,16.928649778758963,198.84537789384103
3,4,17.749298898182154,213.84001042978323
3,5,16.745181262405453,195.57843587746916
4,1,13.128695213915552,137.1425290092601
4,2,14.361205524886289,155.82976589120068
4,3,15.079723600093754,167.29551448795078
4,4,16.131826702907514,184.8779277089308
4,5,17.33329524187934,206.16029971916214
5,1,17.354009386784863,206.53884921824593
5,2,18.022955352566683,218.98142782168895
5,3,17.54240825888813,210.00028375315068
5,4,16.4754733212537,190.83146285440728
5,5,16.0935700961949,184.22165725384923
